[01-14-2021 20:01:29] 	 URL:https://www.jdsports.co.uk/product/white-nike-air-max-90/16070030/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:29] 	 URL:https://www.jdsports.co.uk/product/white-mckenzie-moxley-t-shirt/16067079/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:30] 	 URL:https://www.jdsports.co.uk/product/grey-adidas-originals-ozweego-celox/16049942/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:30] 	 URL:https://www.jdsports.co.uk/product/pink-nike-plus-size-training-bra/16045174/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:30] 	 URL:https://www.jdsports.co.uk/product/white-adidas-originals-ozweego-womens/16071374/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:31] 	 URL:https://www.jdsports.co.uk/product/white-nike-air-force-1-low/16069140/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:31] 	 URL:https://www.jdsports.co.uk/product/white-adidas-celtic-fc-track-jacket/16069925/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:31] 	 URL:https://www.jdsports.co.uk/product/white-nike-air-force-1-07/15958093/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:32] 	 URL:https://www.jdsports.co.uk/product/grey-fila-memory-approach-womens/16069836/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:32] 	 URL:https://www.jdsports.co.uk/product/white-nike-air-force-1-react/15973936/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:32] 	 URL:https://www.jdsports.co.uk/product/black-fila-memory-approach-womens/16069824/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:32] 	 URL:https://www.jdsports.co.uk/product/white-nike-air-force-1-womens/16064749/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:33] 	 URL:https://www.jdsports.co.uk/product/white-nike-air-force-1-pixel-womens/16068526/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:33] 	 URL:https://www.jdsports.co.uk/product/black-duffer-octon-track-top/16069752/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:33] 	 URL:https://www.jdsports.co.uk/product/brown-nike-air-force-1-pixel-womens/16046119/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:34] 	 URL:https://www.jdsports.co.uk/product/black-nike-air-force-1-shadow-womens/16035071/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:34] 	 URL:https://www.jdsports.co.uk/product/black-supply-and-demand-protection-hoodie/16069717/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:35] 	 URL:https://www.jdsports.co.uk/product/black-nike-air-force-1-low-junior/014125/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:35] 	 URL:https://www.jdsports.co.uk/product/grey-puma-core-large-logo-hoodie/16069552/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:35] 	 URL:https://www.jdsports.co.uk/product/white-nike-air-force-1-infant/16047271/ argument of type 'NoneType' is not iterable 
